window_id,seed,train_end,test_start,test_end,is_sharpe,oos_sharpe,oos_status,oos_n_trades,oos_min_trades,dsr,n_nodes_best,val_sharpe,selection,n_pareto_front,n_evaluations,dsr_n_trials,dsr_trial_sr_std,dsr_trial_source,dsr_n_evaluations,dsr_n_trials_bests,dsr_trial_sr_std_bests,dsr_bests_only,n_assets,universe_fingerprint
0,0,2025-01-31,2025-04-01,2025-07-31,3.0656128694588816,1.207457120222754,ok,270,22,0.8190640185131617,9,0.8170020879537858,validation,19,5565,38774,0.49483399964616853,all_evaluations,50455,9,1.0201483343189544,0.9169107931530072,21,af8fe4ee067f
0,1,2025-01-31,2025-04-01,2025-07-31,4.056886651098549,1.563597821678468,ok,227,22,0.9698509812041034,6,-0.3233576898824707,validation,7,5610,38774,0.49483399964616853,all_evaluations,50455,9,1.0201483343189544,0.9910357584291066,21,af8fe4ee067f
0,2,2025-01-31,2025-04-01,2025-07-31,2.821266448056661,1.103313619398426,ok,155,22,0.7548089768655056,9,-0.15228260094001608,validation,12,5633,38774,0.49483399964616853,all_evaluations,50455,9,1.0201483343189544,0.8776661019267935,21,af8fe4ee067f
1,0,2025-05-31,2025-08-01,2025-11-30,2.285399584370982,-1.7587928175703227,ok,343,15,0.594162867020715,10,3.656150535974303,validation,19,5573,38774,0.49483399964616853,all_evaluations,50455,9,1.0201483343189544,0.789916976150665,21,af8fe4ee067f
1,1,2025-05-31,2025-08-01,2025-11-30,2.2158585910121587,-2.238632417054381,ok,330,15,0.5646076276443852,18,2.6489283918116864,validation,12,5611,38774,0.49483399964616853,all_evaluations,50455,9,1.0201483343189544,0.768293078939358,21,af8fe4ee067f
1,2,2025-05-31,2025-08-01,2025-11-30,1.1989143587128874,1.8491585679467797,ok,187,15,0.18309171807159919,4,2.4451537676202566,validation,11,5656,38774,0.49483399964616853,all_evaluations,50455,9,1.0201483343189544,0.35705974856356126,21,af8fe4ee067f
2,0,2025-09-30,2025-12-01,2026-03-31,0.7271320240298659,-0.5330837988469238,ok,142,12,0.05583819134103544,2,2.2069522191839686,validation,12,5578,38774,0.49483399964616853,all_evaluations,50455,9,1.0201483343189544,0.1641517282375129,21,af8fe4ee067f
2,1,2025-09-30,2025-12-01,2026-03-31,1.8578400165072815,-1.7493051068754732,ok,331,12,0.40120687892955087,4,2.562023407278352,validation,10,5615,38774,0.49483399964616853,all_evaluations,50455,9,1.0201483343189544,0.6420863382021326,21,af8fe4ee067f
2,2,2025-09-30,2025-12-01,2026-03-31,1.531886606644148,0.05692399708030525,ok,246,12,0.2535038919337621,9,4.061426815839603,validation,27,5614,38774,0.49483399964616853,all_evaluations,50455,9,1.0201483343189544,0.49036512462677495,21,af8fe4ee067f
